,name,gender,born_date,born_year,born_place,born_country,died_date,died_year,died_place,died_country,degree,degree_generalized,university,university_country,graduate_year,main_classification,classification_indices,earliest_publication,publication_count,advisor_count,student_count,descendant_count,summary
2960,Luca Valerio,M,1552,1552.0,"Naples, Kingdom of Naples (now Italy)",Italy,17 January 1618,1618.0,"Rome, Papal States (now Italy)",Italy,,,,,,,,,,,,,Luca Valerio was an Italian mathematician who applied methods of Archimedes to find volumes and centres of gravity of solid bodies. He corresponded with Galileo.
2961,Leslie Gabriel Valiant,M,28 March 1949,1949.0,"Budapest, Hungary",Hungary,,,,,Ph.D.,Ph.D.,University of Warwick,United Kingdom,1974.0,68.0,"['68', '94', '92', '81', '02']",1973.0,78.0,1.0,16.0,145.0,Leslie Valiant is a British American computer scientist who has made fundamental contributions to many aspects of theoretical computer science.
2962,Georges Jean Marie Valiron,M,7 September 1884,1884.0,"Lyon, France",France,17 March 1955,1955.0,"Paris, France",France,Ph.D.,Ph.D.,Université de Paris,France,1914.0,30.0,"['30', '01', '36', '27', '65', '42', '41']",1913.0,42.0,1.0,19.0,7186.0,"Georges Valiron was a French mathematician, best known for his contributions to analysis."
2963,Gyula Vályi,M,25 January 1855,1855.0,"Marosvásárhely, Transylvania, Hungary (now Târgu-Mureș, Romania)",Hungary,13 October 1913,1913.0,"Kolozsvár, Hungary (now Cluj, Romania)",Hungary,Ph.D.,Ph.D.,,,1881.0,,,,,1.0,1.0,1427.0,"Gyula Vályi was a Hungarian mathematician and theoretical physicist known for his work on mathematical analysis, geometry and number theory."
2964,Bartel Leendert van der Waerden,M,2 February 1903,1903.0,"Amsterdam, Netherlands",Netherlands,12 January 1996,1996.0,"Zürich, Switzerland",Switzerland,Dr. Phil. Nat.,Ph.D.,Universiteit van Amsterdam,Netherlands,1926.0,1.0,"['01', '14', '62', '00', '10', '09', '52', '81', '20', '02', '60', '55', '50', '36', '11', '05', '85', '76', '73', '56', '51', '48', '42', '30', '27', '22', '15']",1926.0,245.0,1.0,34.0,2354.0,"Van der Waerden was a Dutch mathematician best known for his ""Modern Algebra"" text-book. He also worked on topology and on the history of mathematics."
2965,Edward Burr Van Vleck,M,7 June 1863,1863.0,"Middletown, Connecticut, USA",United States,2 June 1943,1943.0,"Madison, Wisconsin, USA",United States,Ph.D.,Ph.D.,Georg-August-Universität Göttingen,Germany,1893.0,40.0,"['40', '39', '33', '30', '22', '20', '44', '28', '26', '11', '01']",1897.0,33.0,1.0,4.0,489.0,Edward Van Vleck was an American mathematician who worked in the fields of function theory and differential equations.
2966,Alexandre-Théophile Vandermonde,M,28 February 1735,1735.0,"Paris, France",France,1 January 1796,1796.0,"Paris, France",France,,,,,,,,,,,,,Alexandre-Theophile Vandermonde was a French mathematician best known for his work on determinants.
2967,Harry Schultz Vandiver,M,21 October 1882,1882.0,"Philadelphia, Pennsylvania, USA",United States,9 January 1973,1973.0,"Austin, Texas, USA",United States,D.Sc.(honorary),Ph.D.,University of Pennsylvania,United States,1945.0,10.0,"['10', '11', '20', '09', '16', '01', '68', '65', '12', '00']",1902.0,138.0,0.0,5.0,8.0,"Harry Vandiver was an American mathematician, known for work in number theory."
2968,James Ray Vanstone,M,12 August 1933,1933.0,"Owen Sound, Ontario, Canada",Canada,9 April 2001,2001.0,"Florida, USA",United States,Ph.D.,Ph.D.,University of Natal,South Africa,1959.0,53.0,"['53', '15', '83', '58']",1960.0,23.0,1.0,3.0,6.0,"James Vanstone was a Canadian mathematician who dealt with differential geometry and multilinear algebra, especially in connection with the theory of relativity."
2969,Sathamangalam Ranga Iyengar Srinivasa Varadhan,M,2 January 1940,1940.0,"Madras, (now Chennai) India",India,,,,,Ph.D.,Ph.D.,"Indian Statistical Institute, Kolkata",India,1963.0,60.0,"['60', '35', '82', '01', '00', '94', '81', '62', '58', '49', '47', '42', '28']",1962.0,160.0,1.0,38.0,148.0,Srinivasa Varadhan is an Indian mathematician who works in America. He is who is known for his fundamental contributions to probability theory. He won the Abel prize in 2007.
2970,Varahamihira,M,505,505.0,"Kapitthaka, India",India,587,587.0,India,India,,,,,,,,,,,,,Varahamihira was an Indian astrologer whose main work was a treatise on mathematical astronomy which summarised earlier astronomical treatises. He discovered a version of Pascal's triangle and worked on magic squares.
2971,Ottó Varga,M,22 November 1909,1909.0,"Szepetnek, Hungary",Hungary,14 June 1969,1969.0,"Budapest, Hungary",Hungary,Ph.D.,Ph.D.,Charles University,Czech Republic,1933.0,53.0,"['53', '01', '48', '52', '50', '15', '09']",1941.0,49.0,1.0,4.0,10.0,Ottó Varga was a Hungarian mathematician who worked in differential geometry.
2972,Richard Steven Varga,M,9 October 1928,1928.0,"Cleveland, Ohio, USA",United States,25 February 2022,2022.0,"Cleveland, Ohio, USA",United States,Ph.D.,Ph.D.,Harvard University,United States,1954.0,65.0,"['65', '30', '41', '15', '01', '42', '33', '11', '47', '26', '82', '32', '00']",1952.0,253.0,1.0,25.0,283.0,Richard Varga was an American mathematician who worked in numerical analysis and linear algebra.
2973,Pierre Varignon,M,1654,1654.0,"Caen, France",France,23 December 1722,1722.0,"Paris, France",France,,,Académie royale des sciences de Paris,France,1687.0,,,,,1.0,2.0,149510.0,Pierre Varignon was a French mathematician who worked on graphical statics and mechanics.
2974,Theodoros A Varopoulos,M,30 January 1894,1894.0,"Astakos, Aetolia-Acarnania, Greece",Greece,14 June 1957,1957.0,"Thessaloniki, Greece",Greece,,,,,,41.0,"['41', '48', '30', '27']",1923.0,7.0,,,,Theodoros Varopoulos was a Greek mathematician known for his research in multivariable complex equations.
2975,Mikhail Egorovich Vashchenko-Zakharchenko,M,12 November 1825,1825.0,"Maliivka, Zolotonosha, Poltava, Ukraine",Mali,27 August 1912,1912.0,"Kiev, Russian Empire (now Kyiv, Ukraine)",Ukraine,,,,,,,,,,,,,"Mikhail Vashchenko-Zakharchenko worked on the theory of linear differential equations, the theory of probability and non-euclidean geometry."
2976,Oswald Veblen,M,24 June 1880,1880.0,"Decorah, Iowa, USA",United States,10 August 1960,1960.0,"Brooklyn, Maine, USA",United States,Ph.D.,Ph.D.,The University of Chicago,United States,1903.0,55.0,"['55', '51', '53', '50', '03', '26', '01']",1903.0,44.0,1.0,16.0,16245.0,"Veblen made important contributions to projective and differential geometry, and topology."
2977,Georg Freiherr von Vega,M,23 March 1754,1754.0,"Zagorica, Ljubljana, Austrian Empire (now Slovenia)",Austria,26 September 1802,1802.0,"Vienna, Austria",Austria,,,,,,,,,,,,,Jurij Vega wrote about artillery but he is best remembered for his tables of logarithms and trigonometric functions.
2978,Ilya Nestorovich Vekua,M,23 April 1907,1907.0,"Shesheleti, Kutaisi Governorate, Russian Empire (now Ochamchira District, Abkhazia, breakaway region of Georgia)",Georgia,2 December 1977,1977.0,"Tbilisi, Georgia, USSR",Georgia,Doctor,Ph.D.,,,1940.0,73.0,"['73', '36', '30', '35', '45', '53', '31', '01', '41', '79', '49']",1940.0,104.0,1.0,4.0,91.0,"lya Vekua was a Georgian mathematician, specializing in partial differential equations, singular integral equations, generalized analytic functions and the mathematical theory of elastic shells."
2979,John Venn,M,4 August 1834,1834.0,"Hull, England",United Kingdom,4 April 1923,1923.0,"Cambridge, England",United Kingdom,,,,,,,,,,,,,John Venn was an English mathematician and logician best known for the Venn diagrams which can be used to visualise the unions and intersections of sets.
2980,Ferdinand Verbiest,M,9 October 1623,1623.0,"Pittem, Flanders, Spanish Netherlands (now Belgium)",Belgium,28 January 1688,1688.0,"Beijing, China",China,,,,,,,[],0.0,0.0,,,,"Ferdinand Verbiest was a Flemish missionary to China in the 17th century. He produced the first Manchu edition of the first six books of Euclid, a remarkable world map, and a steam automobile. He is also famed as an astronomer, designing astronomical instruments and producing calendars."
2981,Samuel Verblunsky,M,25 June 1906,1906.0,"Whitechapel, London, England",United Kingdom,1996,1996.0,Northern Ireland,Ireland,Ph.D.,Ph.D.,University of Cambridge,United Kingdom,1930.0,42.0,"['42', '31', '30', '27', '41', '52', '46', '45', '40', '26', '34', '47', '39', '01']",1935.0,56.0,1.0,5.0,5.0,Samuel Verblunsky was an English mathematician who worked on orthogonal polynomials and harmonic functions.
2982,Pierre François Verhulst,M,28 October 1804,1804.0,"Brussels, French Empire (now Belgium)",Belgium,15 February 1849,1849.0,"Brussels, Belgium",Belgium,Docteur en Sciences,Ph.D.,Universiteit Gent,Belgium,1825.0,,,,,1.0,0.0,0.0,Pierre Verhulst was a Belgian statistician who worked on population growth.
2983,Pierre Vernier,M,19 August 1584,1584.0,"Ornans, Franche-Comté, Spanish Habsburgs (now France)",France,14 September 1638,1638.0,"Ornans, Franche-Comté, Spanish Habsburgs (now France)",France,,,,,,,,,,,,,Pierre Vernier was a French engineer best known for inventing the Vernier measuring scale.
2984,Siobhán O'Shea Vernon,F,24 February 1932,1932.0,"Macroom, County Cork, Ireland",Ireland,18 September 2002,2002.0,"Cork, Ireland",Ireland,,,,,,42.0,"['42', '30', '40', '26', '16']",1957.0,9.0,,,,Siobhán Vernon was the first Irish-born woman to get a PhD in pure mathematics in Ireland.
2985,Giuseppe Veronese,M,7 May 1854,1854.0,Chioggia (now Italy),Italy,17 July 1917,1917.0,"Padua, Italy",Italy,Ph.D.,Ph.D.,Università di Roma La Sapienza,Italy,1877.0,1.0,['01'],1994.0,1.0,1.0,2.0,2681.0,"Giuseppe Veronese was an Italian mathematician who worked on the geometry of multidimensional spaces, model theory and transfinite numbers."
2986,Ernest-Paulin-Joseph Vessiot,M,8 March 1865,1865.0,"Marseilles, France",France,17 October 1952,1952.0,"La Bauche, Savoie, France",France,Ph.D.,Ph.D.,Université de Paris,France,1892.0,36.0,"['36', '27', '15', '09']",1892.0,30.0,1.0,14.0,420.0,Ernest Vessiot was a French mathematician who worked on the integrability of ordinary differential equations.
