,name,gender,born_date,born_year,born_place,born_country,died_date,died_year,died_place,died_country,degree,degree_generalized,university,university_country,graduate_year,main_classification,classification_indices,earliest_publication,publication_count,advisor_count,student_count,descendant_count,summary
1507,Filadelfo Insolera,M,29 February 1880,1880.0,"Lentini, near Syracuse, Sicily",Italy,1 October 1955,1955.0,"Milan, Italy",Italy,,,,,,60.0,['60'],1950.0,2.0,,,,Filadelfo Insolera was an Italian mathematician best known for his work on statistics and financial mathematics.
1508,Ion N Ionescu-Bizet,M,4 December 1870,1870.0,"Stoienoaia, Creata, Ilfov, Romania",Romania,17 September 1946,1946.0,"Bucharest, Romania",Romania,,,,,,,,,,,,,Ion Ionescu was a Romanian mathematician and engineer. He was one of the founders of the Gazeta Matematica and contributed a remarkable number of articles and problems to the journal. One of these problems is now known as the Ionescu-Weitzenböck inequality. He is also famed as an engineer for building bridges.
1509,Gonzalo Pérez Iribarren,M,26 June 1936,1936.0,"Carmelo, Uruguay",Uruguay,27 August 1998,1998.0,"Montevideo, Uruguay",Uruguay,,,,,,62.0,['62'],1991.0,4.0,,,,Gonzalo Pérez Iribarren was a Uruguayan mathematician and statistician who was forced to spend ten years in exile during the right-wing dictatorship beginning in 1973. He returned to Uruguay in 1983 and was the main force in rebuilding the Institute of Mathematics and Statistics and setting up the Basic Sciences Development Programme.
1510,Rufus Philip Isaacs,M,11 June 1914,1914.0,"New York City, New York, USA",United States,18 January 1981,1981.0,"Baltimore, USA",United States,Ph.D.,Ph.D.,Columbia University,United States,1943.0,90.0,"['90', '76', '39', '30', '91', '73', '65', '60', '10', '05', '00']",1941.0,21.0,1.0,1.0,1.0,Rufus Isaacs was an American mathematician who specialised in game theory.
1511,Gamal Ali Fouad Ismail,F,29 October 1950,1950.0,"Zagazig, El Sharkia, Egypt",Egypt,,,,,,,,,,65.0,"['65', '94', '76', '35', '26']",1983.0,13.0,,,,"Gamal Ismail is an Egyptian mathematician who became Professor of Pure Mathematics at the University College of Women for Art, Science and Education at Ain Shams University in Cairo in 1995."
1512,Kiyosi Ito,M,7 September 1915,1915.0,"Hokusei-cho (now Inabe, Mie Prefecture), Japan",Japan,10 November 2008,2008.0,"Kyoto, Japan",Japan,Ph.D.,Ph.D.,University of Tokyo,Japan,1945.0,60.0,"['60', '46', '01', '62', '31']",1940.0,80.0,1.0,9.0,104.0,Kiyosi Ito was a Japanese mathematician who pioneered the theory of stochastic integration and stochastic differential equations. He won the Gauss prize in 2006.
1513,Ida Rhodes,F,15 May 1900,1900.0,"Kamianets-Podilskyi, Ukraine",Ukraine,1 February 1986,1986.0,"Rockville, Maryland, USA",United States,,,,,,65.0,"['65', '94', '01']",1955.0,4.0,,,,Ida Rhodes was born in the Ukraine but emigrated to the United States as a teenager. She studied mathematics and had a variety of jobs before joining the Mathematical Tables Project in New York City. She did important work on the development of computers.
1514,Elizaveta Fedorovna Litvinova,F,21 September 1845,1845.0,"Tula, Russia",Russia,1919,1919.0,"St Petersburg, Russia",Russia,,,,,,,[],0.0,0.0,,,,"Elizaveta Litvinova was the second woman to receive a Ph.D. in mathematics. A competent mathematician, she was denied the possibility to teach and research at high levels in Russia. She was a friend of Sofia Kovalevskaya and wrote a biography of her and of other mathematicians. She also wrote around 70 articles on teaching mathematics."
1515,James Ivory,M,17 February 1765,1765.0,"Dundee, Scotland",United Kingdom,21 September 1842,1842.0,"London, England",United Kingdom,,,,,,,,,,,,,James Ivory was a Scottish mathematician who wrote on mathematical astronomy.
1516,Anzelm Iwanik,M,21 April 1946,1946.0,"Tomaszów Mazowiecki, Poland",Poland,28 September 1998,1998.0,"Wrocław, Poland",Poland,Ph.D.,Ph.D.,Politechnika Wrocławska,Poland,1974.0,28.0,"['28', '47', '54', '08', '58', '20', '60', '37', '46', '43', '22', '01']",1972.0,63.0,1.0,4.0,13.0,"Anzelm Iwanik was a Polish mathematician who worked on functional analysis, topological dynamics, spectral theory and ergodic theory."
1517,Kenkichi Iwasawa,M,11 September 1917,1917.0,"Shinshuku-mura (near Kiryu), Gumma Prefecture, Japan",Japan,26 October 1998,1998.0,"Tokyo, Japan",Japan,Dr. Sci.,Ph.D.,University of Tokyo,Japan,1945.0,10.0,"['10', '20', '12', '11', '14', '01', '30', '09']",1941.0,66.0,1.0,21.0,266.0,Kenkichi Iwasawa was a Japanese mathematician who worked in algebraic number theory.
1518,Sunday Osarumwense Iyahen,M,3 October 1937,1937.0,"Benin City, Edo State, Nigeria",Benin,28 January 2018,2018.0,"Benin City, Edo State, Nigeria",Benin,Ph.D.,Ph.D.,University of Keele,United Kingdom,1967.0,46.0,"['46', '47', '22']",1966.0,29.0,1.0,0.0,0.0,Sunday Iyahen was a Nigerian mathematician who worked in topological vector spaces. He became a senator in the Nigerian parliament.
1519,Shokichi Iyanaga,M,2 April 1906,1906.0,"Tokyo, Japan",Japan,1 June 2006,2006.0,"Tokyo, Japan",Japan,Ph.D.,Ph.D.,University of Tokyo,Japan,1931.0,1.0,"['01', '50', '09', '11', '00', '42', '10']",1939.0,27.0,1.0,23.0,1240.0,"Shokichi Iyanaga was a Japanese mathematician who published some papers in topology, functional analysis, and geometry."
1520,Jorge Andrés Ize Lamache,M,24 January 1946,1946.0,"Tulancingo, Hidalgo, Mexico",Mexico,16 August 2012,2012.0,"Mexico City, Mexico",Mexico,Ph.D.,Ph.D.,New York University,United States,1974.0,58.0,"['58', '47', '37', '70', '01', '82', '55', '35', '34']",1976.0,31.0,1.0,1.0,1.0,"Jorge Andrés Ize was a Mexican mathematician who made important contributions to global analysis, analysis on manifolds and operator theory. His work on non-linear problems led to him setting up FENOMEC involving collaboration between several departments of the National Autonomous University of Mexico."
1521,Milojica Jacimovic,M,1 March 1950,1950.0,"Kostenica, Yugoslavia (now Montenegro)",Montenegro,,,,,,,,,,,,,,,,,"Milojica Jacimovic is a Montenegrin mathematician whose work is in the area of operations research, mathematical programming, calculus of variations and optimal control. He was the first president of the Society of Mathematicians and Physicists of Montenegro."
1522,David Jack,M,7 August 1896,1896.0,"Scarfskerry, Caithness, Scotland",United Kingdom,25 March 1975,1975.0,"St Andrews, Fife, Scotland",United Kingdom,,,,,,,,,,,,,David Jack studied at Edinburgh though his studies were interrupted by war service. He took up a post teaching Physics at St Andrews.
1523,Henry Jack,M,6 July 1917,1917.0,"Menzieshill, near Dundee, Scotland",United Kingdom,5 January 1978,1978.0,"Dundee, Scotland",United Kingdom,,,,,,33.0,"['33', '26', '15', '12', '05', '65', '62', '28', '22']",1959.0,15.0,,,,Henry Jack was a Scottish mathematician who taught at Dundee University and made contributions to the theory of polynomials.
1524,William Jack,M,29 May 1834,1834.0,"Stewarton, Ayrshire, Scotland",United Kingdom,23 March 1924,1924.0,"Glasgow, Scotland",United Kingdom,,,,,,,,,,,,,William Jack became Professor of Mathematics at Glasgow University and held this post for 30 years.
1525,Dunham Jackson,M,24 July 1888,1888.0,"Bridgewater, Massachusetts, USA",United States,6 November 1946,1946.0,"Minnesota, USA",United States,Ph.D.,Ph.D.,Georg-August-Universität Göttingen,Germany,1911.0,41.0,"['41', '42', '71', '36', '34', '33', '28', '11', '01']",1909.0,86.0,1.0,17.0,144.0,Dunham Jackson was an American mathematician who worked in approximation theory.
1526,Frank Hilton Jackson,M,16 August 1870,1870.0,"Hull, England",United Kingdom,27 April 1960,1960.0,"Cookridge, Leeds, England",United Kingdom,,,,,,,,,,,,,Frank Jackson was an English clergyman and mathematician who worked on basic hypergeometric series.
1527,John Jackson,M,11 February 1887,1887.0,"Paisley, Renfrewshire, Scotland",United Kingdom,9 December 1958,1958.0,"London, England",United Kingdom,,,,,,,,,,,,,John Jackson graduated from Glasgow and Cambridge. He went to the Royal Observatory at Greenwich but his career there was interrupted by World War I. He was then appointed HM Astronomer at the University of Cape Town.
1528,Carl Gustav Jacob Jacobi,M,10 December 1804,1804.0,"Potsdam, Prussia (now Germany)",Germany,18 February 1851,1851.0,"Berlin, Germany",Germany,Ph.D.,Ph.D.,Humboldt-Universität zu Berlin,Germany,1825.0,1.0,"['01', '65']",1834.0,10.0,1.0,7.0,27480.0,Carl Jacobi made basic contributions to the theory of elliptic functions. He carried out important research in partial differential equations of the first order and applied them to the differential equations of dynamics.
1529,Nathan Jacobson,M,8 September 1910,1910.0,"Warsaw, Russian Empire (now Poland)",Poland,5 December 1999,1999.0,"Hamden, Connecticut, USA",United States,Ph.D.,Ph.D.,Princeton University,United States,1934.0,9.0,"['09', '17', '16', '01', '00', '15', '20', '12']",1934.0,119.0,1.0,34.0,522.0,Nathan Jacobson was an American algebraist who is best known for his work in ring theory and for his text-books.
1530,Ernst Jacobsthal,M,16 October 1882,1882.0,"Berlin, Germany",Germany,6 February 1965,1965.0,"Überlingen, Bodensee, Germany",Germany,Ph.D.,Ph.D.,Universität Berlin,Germany,1906.0,10.0,"['10', '30', '27', '26', '09', '40', '15', '50', '39', '36', '33', '20']",1907.0,62.0,2.0,1.0,1.0,"Ernst Jacobsthal was a German mathematician who wrote papers in such diverse fields as algebra, analysis, function theory and number theory."
1531,François de Paule Jacquier,M,7 June 1711,1711.0,"Vitry-le-François, Champagne, France",France,3 July 1788,1788.0,"Rome, Papal States (now Italy)",Italy,,,,,,,[],0.0,0.0,,,,François Jacquier was a French 18th century mathematician who spent most of his life in the Minim Monastery in Rome. Along with Thomas Le Seur he edited a highly annotated edition of Newton's Principia.
1532,Jagannatha Samrat,M,about 1690,1690.0,"Amber (now Jaipur), India",India,about 1750,1750.0,India,India,,,,,,,,,,,,,Jagannatha was an Indian mathematician who is important as a translator of important Greek works into Sanskrit.
1533,Hermann Arthur Jahn,M,31 May 1907,1907.0,"Colchester, England",United Kingdom,24 October 1979,1979.0,"Southampton, England",United Kingdom,,,,,,81.0,"['81', '65', '48', '22', '20', '05']",1948.0,8.0,,,,Hermann Arthur Jahn was an English scientist who worked on quantum mechanics and group theory.
1534,Ioan Mackenzie James,M,23 May 1928,1928.0,"Croydon, Surrey, England",United Kingdom,,,,,D.Phil.,Ph.D.,University of Oxford,United Kingdom,1953.0,55.0,"['55', '57', '01', '54', '56', '58', '00']",1953.0,122.0,1.0,13.0,557.0,Ioan James is an English mathematician who works in topology and the history of mathematics.
1535,Ralph Duncan James,M,8 February 1909,1909.0,"Liverpool, England",United Kingdom,19 May 1979,1979.0,"Salt Spring Island, British Columbia, Canada",Canada,Ph.D.,Ph.D.,The University of Chicago,United States,1932.0,10.0,"['10', '42', '27', '11', '40']",1932.0,14.0,1.0,4.0,6.0,Ralph Duncan James was an English-born Canadian mathematician who worked on number theory and mathematical analysis.
1536,Zygmunt Janiszewski,M,12 June 1888,1888.0,"Warsaw, Russian Empire (now Poland)",Poland,3 January 1920,1920.0,"Lvov, Poland (now Lviv, Ukraine)",Poland,Ph.D.,Ph.D.,,,1911.0,1.0,['01'],1962.0,1.0,1.0,1.0,918.0,Janiszewski produced important results in topology and the foundations of mathematics.
1537,Sof'ja Aleksandrovna Janovskaja,F,31 January 1896,1896.0,"Pruzhany, Russian Empire (now Belarus)",Belarus,24 October 1966,1966.0,"Moscow, USSR",Russia,,,,,,1.0,"['01', '00']",1947.0,14.0,,,,Sof'ja Aleksandrovna Janovskaja was a Polish-born mathematician who worked on the philosophy of mathematics and logic.
1538,Dov Jarden,M,17 January 1911,1911.0,"Motele, Russian Empire, now Motal, Belarus",Belarus,29 September 1986,1986.0,"Jerusalem, Israel",Israel,,,,,,,,,,,,,Dov Jarden was a Belarussian-born linguist who wrote on number theory and founded the mathematics journal Riveon.
1539,Vojtěch Jarník,M,22 December 1897,1897.0,"Prague, Bohemia (now Czech Republic)",Czech Republic,22 September 1970,1970.0,"Prague, Czechoslovakia (now Czech Republic)",Czech Republic,Ph.D.,Ph.D.,Charles University,Czech Republic,1921.0,10.0,"['10', '01', '53', '42', '34', '27', '26']",1926.0,50.0,1.0,7.0,425.0,"Vojtěch Jarník was a Czech mathematician who worked in number theory, mathematical analysis, and graph algorithms."
1540,James Hopwood Jeans,M,11 September 1877,1877.0,"Ormskirk, Lancashire, England",United Kingdom,16 September 1946,1946.0,"Dorking, Surrey, England",United Kingdom,Ph.D.,Ph.D.,University of Cambridge,United Kingdom,,82.0,"['82', '80', '79', '78', '01', '00']",1940.0,6.0,1.0,1.0,1609.0,"James Jeans worked on astronomy as well as thermodynamics, heat and other aspects of radiation."
1541,George Barker Jeffery,M,9 May 1891,1891.0,"London, England",United Kingdom,27 April 1957,1957.0,"London, England",United Kingdom,,,,,,,,,,,,,"George Jeffery worked on hydrodynamics, viscous liquids, elasticity and general relativity and he produced exact solutions to Einstein's field equations. He also made contributions to teaching mathematics."
1542,Ralph Lent Jeffery,M,3 October 1889,1889.0,"Overton, Yarmouth County, Nova Scotia, Canada",Canada,1975,1975.0,"Wolfville, Nova Scotia, Canada",Canada,Ph.D.,Ph.D.,Cornell University,United States,1928.0,27.0,"['27', '26', '28', '46', '42']",1925.0,29.0,1.0,0.0,0.0,Ralph Jeffery was a Canadian mathematician who worked on analysis.
1543,Bertha Swirles Jeffreys,M,22 May 1903,1903.0,"Northampton, England",United Kingdom,18 December 1999,1999.0,"Cambridge, England",United Kingdom,,,,,,81.0,"['81', '27', '01', '69', '40', '00']",1946.0,12.0,,,,Bertha Swirles Jeffreys was an English physicist who carried out research on quantum theory. She co-authored an important text-book on mathematical physics with her husband.
1544,Harold Jeffreys,M,22 April 1891,1891.0,"Fatfield (near Durham), England",United Kingdom,18 March 1989,1989.0,"Cambridge, England",United Kingdom,D.Sc.,Ph.D.,University of Cambridge,United Kingdom,1917.0,85.0,"['85', '62', '73', '86', '76', '27', '60', '41', '71', '70', '36', '83', '80', '78', '69', '65', '53', '44', '34', '31', '15', '01', '00']",1924.0,65.0,1.0,8.0,1319.0,"Harold Jeffreys was an English mathematician, statistician, geophysicist, and astronomer."
1545,Johan Ludwig William Valdemar Jensen,M,8 May 1859,1859.0,"Nakskov, Denmark",Denmark,5 March 1925,1925.0,"Copenhagen, Denmark",Denmark,,,,,,,[],1899.0,6.0,,,,Johan Ludwig Jensen was a Danish mathematician and engineer who worked on the Riemann hypothsis and convex functions.
1546,Vaclav Jerabek,M,11 December 1845,1845.0,"Kolodeje, Pardubice, Czech Republic",Czech Republic,20 December 1931,1931.0,"Telc, Czech Republic",Czech Republic,,,,,,,,,,,,,Vaclav Jerabek was a Czech mathematician whose main research interest was in constructive geometry.
1547,George Birch Jerrard,M,25 November 1804,1804.0,"Bodmin, Cornwall, England",United Kingdom,23 November 1863,1863.0,"Long Stratton, Norfolk, England",United Kingdom,,,,,,,,,,,,,George Jerrard was an English mathematician who worked on the theory of equations.
1548,Børge Christian Jessen,M,19 June 1907,1907.0,"Copenhagen, Denmark",Denmark,20 March 1993,1993.0,"Copenhagen, Denmark",Denmark,Ph.D.,Ph.D.,Københavns Universitet,Denmark,1930.0,27.0,"['27', '42', '52', '01', '48', '53', '50', '71', '60', '51', '39', '11', '10']",1929.0,51.0,1.0,4.0,123.0,Børge Jessen was a Danish mathematician best known for his work in analysis and in geometry.
1549,William Stanley Jevons,M,1 September 1835,1835.0,"Liverpool, England",United Kingdom,13 August 1882,1882.0,"Hastings, England",United Kingdom,,,,,,2.0,['02'],1958.0,1.0,,,,"Stanley Jevons was an English mathematician, economist and logician."
1550,Svetlana Yakovlevna Jitomirskaya,F,4 June 1966,1966.0,"Kharkov, Ukraine",Ukraine,,,,,Ph.D.,Ph.D.,Lomonosov Moscow State University,Russia,1991.0,47.0,"['47', '81', '82', '37', '39', '58', '35', '11', '01']",1990.0,79.0,1.0,12.0,12.0,"Svetlana Jitomirskaya is a Ukrainian-born American mathematician who is known for her work on dynamical systems and mathematical physics. She has won major prizes including the Ruth Lyttle Satter Prize in Mathematics, the Dannie Heineman Prize for Mathematical Physics, the Olga Alexandrovna Ladyzhenskaya Prize, and the Barry Prize."
1551,Ferdinand Joachimsthal,M,9 March 1818,1818.0,"Goldberg, Prussian Silesia (now Złotoryja, Poland)",Poland,5 April 1861,1861.0,"Breslau, Germany (now Wrocław, Poland)",Germany,,,,,,,,,,,,,Ferdinand Joachimsthal made substantial contributions to the theory of surfaces and applied the theory of determinants to geometry.
1552,Fritz John,M,14 June 1910,1910.0,"Berlin, Germany",Germany,10 February 1994,1994.0,"New York, USA",United States,Dr. rer. nat.,Ph.D.,Georg-August-Universität Göttingen,Germany,1934.0,35.0,"['35', '73', '36', '76', '01', '65', '26', '00', '52', '46', '15', '90', '78', '57', '49', '47', '45', '39', '30', '27']",1938.0,110.0,1.0,23.0,99.0,Fritz John was a German-born mathematician who worked in partial differential equations and ill-posed problems.
1553,Anna Johnson Pell Wheeler,F,5 May 1883,1883.0,"Calliope (now Hawarden), Iowa, USA",United States,26 March 1966,1966.0,"Bryn Mawr, Pennsylvania, USA",United States,Ph.D.,Ph.D.,The University of Chicago,United States,1910.0,47.0,"['47', '45', '42']",1911.0,7.0,1.0,7.0,11.0,"Anna Johnson Wheeler was an American mathematician. She is best known for early work on linear algebra in infinite dimensions, which has later become a part of functional analysis."
1554,Barry Edward Johnson,M,1 August 1937,1937.0,"Woolwich, London, England",United Kingdom,5 May 2002,2002.0,"Newcastle upon Tyne, England",United Kingdom,Ph.D.,Ph.D.,University of Cambridge,United Kingdom,1962.0,46.0,"['46', '43', '47', '42', '34', '33', '28', '22', '01']",1964.0,71.0,1.0,2.0,107.0,Barry Johnson was an English mathematician who worked on operator algebras.
1555,Elgy Sibley Johnson,M,8 November 1912,1912.0,"Jacksonville, Florida, USA",United States,12 March 1987,1987.0,"Washington D.C., USA",United States,,,,,,34.0,['34'],1957.0,2.0,,,,"Elgy Sibley Johnson was an African American mathematician who was awarded a Ph.D. by the Catholic University of America. He served at the District of Columbia Teachers College, then joined the University of the District of Columbia when it was founded in 1976."
1556,Katherine Coleman Goble Johnson,F,26 August 1918,1918.0,"White Sulphur Springs, Greenbrier County, West Virginia, USA",United States,24 February 2020,2020.0,"Newport News, Virginia, USA",United States,,,,,,,,,,,,,Katherine Johnson was an African-American mathematician who made contributions to NASA's space programmme. She was featured in the 2017 film Hidden figures.
1557,William Ernest Johnson,M,23 June 1858,1858.0,"Cambridge, England",United Kingdom,14 January 1931,1931.0,"Northampton, England",United Kingdom,,,,,,,,,,,,,"William Johnson was an English mathematician, logician and economist."
1558,William Woolsey Johnson,M,23 June 1841,1841.0,"Owego, Tioga County, New York,USA",United States,14 May 1927,1927.0,"Baltimore, Maryland, USA",United States,,,,,,,[],1884.0,6.0,,,,Woolsey Johnson was an American text-book writer and one of the founders of the New York Mathematical Society.
1559,David Moncrieff Johnstone,M,June 1877,1877.0,"Edinburgh, Scotland",United Kingdom,28 December 1935,1935.0,"Edinburgh, Scotland",United Kingdom,,,,,,,,,,,,,David Johnstone graduated from Edinburgh University and taught at Spier's School Beith and George Heriot's School Edinburgh before moving to the Provincial Training College in Edinburgh.
1560,Charles Jasper Joly,M,27 June 1864,1864.0,"Tullamore, County Offaly, Ireland",Ireland,4 January 1906,1906.0,"Dunsink, Dublin, Ireland",Ireland,,,,,,,[],0.0,0.0,,,,Charles Joly was an Irish mathematician who did outstanding work on the quaternions. He became Andrews Professor of Astronomy in the University of Dublin and Royal Astronomer of Ireland at Dunsink Observatory.
1561,Douglas Samuel Jones,M,10 January 1922,1922.0,"Corby, Northamptonshire, England",United Kingdom,26 November 2013,2013.0,"Perth, Scotland",United Kingdom,,,,,,78.0,"['78', '76', '41', '73', '46', '33', '45', '44', '65', '35', '92', '36', '26', '94', '81', '42', '40', '30', '15']",1950.0,116.0,,,,Douglas Jones was an English mathematician known for his work in the field of electromagnetism. He spent many years as head of department at Dundee.
1562,Vaughan Frederick Randal Jones,M,31 December 1952,1952.0,"Gisborne, New Zealand",New Zealand,6 September 2020,2020.0,"Nashville, Tennessee, USA",United States,D.Sc.,Ph.D.,Université de Genève,Switzerland,1979.0,46.0,"['46', '57', '82', '20', '01', '81', '22', '16', '68', '30', '28', '17', '15', '05', '03', '00']",1975.0,118.0,1.0,32.0,75.0,Vaughan Jones is a New Zealand mathematician who won a Fields Medal for his work on Knot theory.
1563,William Jones,M,1675,1675.0,"Llanfihangel Tre'r Beirdd, Anglesey, Wales",Wales,1 July 1749,1749.0,"London, England",United Kingdom,,,,,,,,,,,,,William Jones was a Welsh mathematician who corresponded with many of the important English mathematicians of his day.
1564,Marie Ennemond Camille Jordan,M,5 January 1838,1838.0,"La Croix-Rousse, Lyon, France",France,22 January 1922,1922.0,"Paris, France",France,Ph.D.,Ph.D.,"Faculté des Sciences, Paris",France,1860.0,1.0,"['01', '15']",1866.0,22.0,2.0,1.0,600.0,"Camille Jordan was highly regarded by his contemporaries for his work in algebra, group theory and Galois theory."
1565,Ernst Pascual Jordan,M,18 October 1902,1902.0,"Hannover, Germany",Germany,31 July 1980,1980.0,"Hamburg, West Germany",Germany,Dr. rer. nat.,Ph.D.,Georg-August-Universität Göttingen,Germany,1925.0,83.0,"['83', '09', '06', '81', '17', '20', '79', '01', '48']",1934.0,65.0,1.0,10.0,23.0,Pascual Jordan was a German scientist who worked in quantum mechanics and quantum field theory.
1566,Jordanus Nemorarius,M,1225,1225.0,"Borgentreich (near Warburg), Germany",Germany,1260,1260.0,At sea,,,,,,,1.0,['01'],1959.0,2.0,,,,"Jordanus Nemorarius was a German scholar who wrote several books on arithmetic, algebra, geometry and astronomy. He was among the first to use letters to replace numbers in algebraic calculations."
1567,Palle Erik Tikob Jorgensen,M,8 October 1947,1947.0,"Frederiksberg, Copenhagen, Denmark",Denmark,,,,,Ph.D.,Ph.D.,Aarhus University,Denmark,1973.0,46.0,"['46', '47', '42', '22', '60', '28', '05', '94', '81', '43', '37', '35', '58', '30', '17', '44', '11', '01', '65', '41', '26', '93', '82', '62', '49', '40', '34', '31', '20', '00']",1975.0,362.0,1.0,35.0,41.0,Palle Jorgensen is a Danish mathematician who worked mainly in America. He has published a large number of papers in both pure and applied mathematics.
1568,Nikolai Egorovich Zhukovsky,M,17 January 1847,1847.0,"Orekhovo, Vladimir gubernia, Russia",Russia,17 March 1921,1921.0,"Moscow, USSR",Russia,,,,,,71.0,"['71', '01']",1948.0,2.0,,,,Nikolai Joukowski or Zhukovsky was a Russian scientist who did pioneering work on aerodynamics. He is best known for the so-called Joukowski aerofoil.
1569,Philip Edward Bertrand Jourdain,M,16 October 1879,1879.0,"Ashbourne, Derbyshire, England",United Kingdom,1 October 1919,1919.0,"Crookham, Hampshire, England",United Kingdom,,,,,,1.0,['01'],1922.0,3.0,,,,Philip Jourdain was an English logician who worked on the foundations of set theory.
1570,Jovan Karamata,M,1 February 1902,1902.0,"Zagreb, Austria-Hungary (now Serbia)",Austria,14 August 1967,1967.0,"Geneva, Switzerland",Switzerland,Ph.D.,Ph.D.,University of Belgrade,Serbia,1926.0,40.0,"['40', '10', '42', '27', '26', '06', '41', '33', '65', '52', '48', '46', '36', '22']",1930.0,60.0,1.0,12.0,623.0,"Jovan Karamata was an outstanding mathematician who lived through the wars of the first half of the 20th century in the Balkans. He gained international fame with a 2-page proof of the Hardy-Littlewood theorem, and also did excellent work on slowly varying functions and on Tauberian theory."
1571,Jorge Juan y Santacilia,M,"5th January, 1713",1713.0,"Novelda, Alicante, Spain",Spain,"June 21, 1773",1773.0,"Madrid, Spain",Spain,,,,,,,,,,,,,"Jorge Juan was a mathematician and seaman who took part in the famous Franco-Spanish expedition to South America to measure a degree of meridian at the Equator. He introduced the study of Newton to Spain, supervised the modernisation of the Spanish Navy and set the basis for the future Spanish Academy of Sciences."
1572,Mei Juecheng,M,19 May 1681,1681.0,"Xuangcheng, now Xuanzhou City, Anhui province, China",China,20 November 1763,1763.0,China,China,,,,,,,,,,,,,Mei Juecheng was a Chinese mathematician who edited and extended the works of his grand-father Mei Wending.
1573,Christian Sophus Juel,M,25 January 1855,1855.0,"Randers, Denmark",Denmark,24 January 1935,1935.0,"Copenhagen, Denmark",Denmark,Ph.D.,Ph.D.,Københavns Universitet,Denmark,1885.0,,[],1890.0,1.0,0.0,0.0,0.0,"Christian Juel was a Danish mathematician, specializing in geometry."
1574,Gaston Maurice Julia,M,3 February 1893,1893.0,"Sidi bel Abbès, Algeria",Algeria,19 March 1978,1978.0,"Paris, France",France,Ph.D.,Ph.D.,"Faculté des Sciences, Paris",France,1917.0,46.0,"['46', '01', '53', '71', '30', '39']",1917.0,71.0,2.0,2.0,594.0,Julia was one of the forefathers of modern dynamical systems theory and is best remembered for what is now called the Julia set.
1575,Heinrich Wilhelm Ewald Jung,M,4 May 1876,1876.0,"Essen, Germany",Germany,12 March 1953,1953.0,"Halle, Germany",Germany,Dr. phil.,Ph.D.,Philipps-Universität Marburg,Germany,1899.0,48.0,"['48', '14', '30', '10']",1901.0,11.0,1.0,19.0,226.0,Heinrich Jung was a German mathematician who worked on algebraic functions.
1576,Joachim Jungius,M,22 October 1587,1587.0,"Lübeck, Holstein (now Germany)",Germany,23 September 1657,1657.0,"Hamburg, Germany",Germany,,,,,,,,,,,,,Joachim Jungius was a German mathematician who was one of the first to use exponents to represent powers and who used mathematics as a model for the natural sciences.
1577,Jyesthadeva,M,about 1500,1500.0,"Kerala, India",India,about 1575,1575.0,"Kerala, India",India,,,,,,1.0,['01'],2008.0,1.0,,,,Jyesthadeva was a mathematician from South India who wrote an important work on mathematics and astronomy which summarises the work of the Kerala school.
1578,Mark Kac,M,3 August 1914,1914.0,"Krzemieniec, Poland, Russian Empire, (now Ukraine)",Poland,26 October 1984,1984.0,"California, USA",United States,Ph.D.,Ph.D.,University of Lwów,Poland,1937.0,60.0,"['60', '82', '42', '01', '00', '10', '81', '35', '40', '34', '80', '65', '62', '46', '41', '31', '93', '70', '58', '57', '11']",1939.0,145.0,1.0,14.0,383.0,"Mark Kac pioneered the modern development of mathematical probability, in particular its applications to statistical physics."
1579,Stefan Marian Kaczmarz,M,20 March 1895,1895.0,"Sambor, Lwów, Austria-Hungary (now Sambir, Ukraine)",Austria,after 4 September 1939,1939.0,Poland,Poland,Ph.D.,Ph.D.,Uniwersytet Jana Kazimierza,Poland,1924.0,41.0,"['41', '01']",1958.0,2.0,1.0,0.0,0.0,"Stefan Kaczmarz was a Polish mathematician whose work provided the basis for modern imaging techniques, including the CAT scan."
1580,Mikhail Iosiphovich Kadets,M,30 November 1923,1923.0,"Kiev, Soviet Empire (now Kyiv, Ukraine)",Ukraine,7 March 2011,2011.0,"Kharkov, Ukraine",Ukraine,Ph.D.,Ph.D.,Vasyl Karazin Kharkiv National University,Ukraine,1955.0,46.0,"['46', '42', '47', '41', '40', '43', '26', '01']",1953.0,71.0,1.0,9.0,29.0,Mikhail Kadets was a Ukranian mathematician who worked in analysis and the theory of Banach spaces.
1581,Richard Vincent Kadison,M,25 July 1925,1925.0,"New York City, New York, USA",United States,22 August 2018,2018.0,"Narberth, Pennsylvania, USA",United States,Ph.D.,Ph.D.,The University of Chicago,United States,1950.0,46.0,"['46', '81', '47', '01', '82', '20', '60']",1950.0,105.0,1.0,22.0,528.0,Richard Kadison was an American mathematician who contributed to the study of operator algebras.
1582,Abraham Gotthelf Kästner,M,27 September 1719,1719.0,"Leipzig, Germany",Germany,20 June 1800,1800.0,"Göttingen, Germany",Germany,Ph.D.,Ph.D.,Universität Leipzig,Germany,1739.0,1.0,['01'],1970.0,1.0,1.0,12.0,144204.0,Abraham Kästner was a German mathematician who compiled encyclopaedias and wrote text-books. He taught Gauss.
1583,Benjamin Fedorovich Kagan,M,10 March 1869,1869.0,"Shavli, Kovno (now Kaunas, Lithuania)",Lithuania,8 May 1953,1953.0,"Moscow, USSR",Russia,Ph.D.,Ph.D.,St. Petersburg State University,Russia,1963.0,,,,,1.0,5.0,5.0,Benjamin Kagan was a Russian and Soviet mathematician who woked on non-Euclidean geometry.
